NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Jamestown, ND Micro Area",683,107,174,190,544,3066,212,1337,10245,152530,10158,2352,19410,11035,17225,27420,,msa,27420,,2019
"Jamestown-Dunkirk-Fredonia, NY Micro Area",659,1278,767,1367,4526,16320,1361,14570,67645,945970,52751,22398,123076,59600,105397,27460,,msa,27460,,2019
"Janesville-Beloit, WI Metro Area",838,1736,1382,1544,4002,20485,1142,4289,69028,1743060,75972,20359,158476,84311,128603,27500,,msa,27500,,2019
"Jasper, AL Micro Area",626,360,296,305,1200,5692,1246,6122,31141,663720,23376,11440,63036,26672,51506,27530,,msa,27530,,2019
"Jasper, IN Micro Area",649,398,170,291,772,4638,417,1630,23652,530755,26915,5185,53735,28895,42982,27540,,msa,27540,,2019
"Jayuya, PR Micro Area",371,63,45,5,241,2039,1165,1332,6169,74095,3050,8694,14258,3790,11739,27580,,msa,27580,,2019
"Jefferson, GA Micro Area",823,461,301,403,840,5125,739,2222,25388,899480,29075,7564,67035,32506,52409,27600,,msa,27600,,2019
"Jefferson City, MO Metro Area",666,1167,1135,1030,2207,16595,1456,8391,65074,1463735,69038,14494,140363,74479,121118,27620,,msa,27620,,2019
"Jennings, LA Micro Area",635,397,154,334,587,3176,569,2193,13919,365040,11746,5897,30893,13385,24322,27660,,msa,27660,,2019
"Jesup, GA Micro Area",655,238,217,182,447,3795,516,1887,12287,267800,10319,4209,27498,11650,23254,27700,,msa,27700,,2019
"Johnson City, TN Metro Area",707,2229,1508,2645,5209,28273,3446,12198,97499,1821000,84586,34176,195014,95355,168454,27740,,msa,27740,,2019
"Johnstown, PA Metro Area",634,1179,722,1041,2878,14674,2058,9277,65951,1310530,53800,19466,126423,60598,110409,27780,,msa,27780,,2019
"Jonesboro, AR Metro Area",735,1639,1006,1775,4284,21284,2349,5510,56411,1116320,56457,22130,126335,63565,102423,27860,,msa,27860,,2019
"Joplin, MO Metro Area",752,1796,1576,1774,3953,22988,2268,8114,76075,1488025,78442,27803,174610,87409,139030,27900,,msa,27900,,2019
"Juneau, AK Micro Area",1310,307,315,333,768,4464,158,1022,13698,262850,16279,2440,31783,18351,26030,27940,,msa,27940,,2019
"Kahului-Wailuku-Lahaina, HI Metro Area",1510,1674,1226,1753,4708,21220,2030,18690,73169,1667500,78117,15189,163618,88797,132991,27980,,msa,27980,,2019
"Aberdeen, SD Micro Area",692,516,298,388,885,6148,386,2226,20075,281520,21196,4127,41569,23429,33971,10100,,msa,10100,,2019
"Aberdeen, WA Micro Area",775,784,682,828,1858,9468,664,7551,36273,702090,25892,10037,69587,30619,59488,10140,,msa,10140,,2019
"Abilene, TX Metro Area",907,1804,1642,1877,4298,23175,2317,10582,71513,1313425,73294,23008,157040,81030,134483,10180,,msa,10180,,2019
"Ada, OK Micro Area",707,357,235,285,741,4864,568,2603,16881,303785,17032,5414,36839,18271,30333,10220,,msa,10220,,2019
"Adrian, MI Micro Area",767,627,414,737,1670,8617,631,5461,43806,1150215,42215,10608,93281,46924,80011,10300,,msa,10300,,2019
"Aguadilla-Isabela, PR Metro Area",425,1498,897,1210,4802,37786,21906,37655,146903,1937795,76641,155168,298738,98427,251282,10380,,msa,10380,,2019
"Akron, OH Metro Area",830,7892,5318,7621,21933,95680,6005,28584,315127,7774410,327187,90089,686576,371313,577303,10420,,msa,10420,,2019
"Alamogordo, NM Micro Area",792,818,656,805,1358,8462,961,8111,31745,484520,24799,13816,62503,28036,52420,10460,,msa,10460,,2019
"Albany, GA Metro Area",756,2010,1371,1848,6362,25489,2407,9600,65314,1181800,57244,34594,142915,68003,116434,10500,,msa,10500,,2019
"Albany-Lebanon, OR Metro Area",964,1501,1386,1391,3602,17014,819,2654,50416,1168365,51208,16376,123415,58793,100165,10540,,msa,10540,,2019
"Albany-Schenectady-Troy, NY Metro Area",1013,10235,7514,10106,27520,127267,5881,54983,407696,9902490,422925,86564,850225,473775,729087,10580,,msa,10580,,2019
"Albemarle, NC Micro Area",708,326,206,361,1103,5977,624,4473,27805,727760,26976,7659,59571,30540,49762,10620,,msa,10620,,2019
